[466, 226;
 489, 283;
 711, 283;
 717, 288;
 754, 300;
 750, 304;
 404, 307;
 479, 309;
 744, 316;
 398, 327;
 816, 327;
 822, 328;
 830, 329;
 698, 330;
 826, 330;
 435, 332;
 382, 339;
 827, 348;
 407, 351;
 840, 353;
 510, 364;
 310, 374;
 491, 379;
 360, 382;
 776, 387;
 395, 395;
 429, 396;
 432, 397;
 837, 402;
 408, 403;
 828, 409;
 836, 410;
 319, 412;
 411, 414;
 467, 417;
 713, 418;
 808, 418;
 546, 421;
 714, 424;
 716, 424;
 323, 425;
 336, 425;
 397, 426;
 740, 426;
 301, 427;
 349, 428;
 324, 429;
 390, 429;
 369, 431;
 373, 431;
 720, 431;
 387, 432;
 378, 434;
 366, 437;
 358, 438;
 747, 439;
 325, 442;
 420, 442;
 320, 444;
 392, 444;
 314, 445;
 380, 445;
 367, 446;
 290, 447;
 371, 447;
 374, 448;
 333, 449;
 364, 449;
 416, 449;
 301, 450;
 353, 452;
 357, 453;
 365, 453;
 422, 453;
 494, 453;
 332, 454;
 349, 454;
 374, 456;
 316, 457;
 331, 457;
 363, 457;
 825, 457;
 359, 458;
 433, 458;
 313, 459;
 389, 459;
 423, 459;
 276, 460;
 414, 463;
 498, 463;
 379, 467;
 256, 468;
 346, 468;
 314, 472;
 328, 473;
 289, 478;
 417, 480;
 312, 482;
 245, 483;
 369, 484;
 386, 486;
 772, 488;
 283, 490;
 302, 494;
 266, 499;
 325, 500;
 295, 502;
 326, 504;
 275, 506;
 302, 512;
 750, 514;
 310, 526;
 289, 530;
 265, 545;
 297, 551;
 311, 558;
 263, 559;
 738, 561;
 311, 573;
 762, 578;
 11, 3;
 16, 3;
 85, 3;
 131, 3;
 135, 3;
 212, 3;
 240, 3;
 408, 3;
 547, 3;
 630, 3;
 743, 3;
 774, 3;
 812, 3;
 930, 3;
 947, 3;
 952, 3;
 960, 3;
 998, 3;
 1012, 3;
 1101, 3;
 1109, 3;
 1118, 3;
 1141, 3;
 1146, 3;
 1164, 3;
 1181, 3;
 1206, 3;
 3, 4;
 51, 4;
 82, 4;
 266, 4;
 581, 4;
 614, 4;
 653, 4;
 770, 4;
 878, 4;
 965, 4;
 993, 4;
 1124, 4;
 1228, 4;
 1272, 4;
 1276, 4;
 187, 5;
 323, 5;
 970, 5;
 1055, 5;
 1155, 5;
 234, 6;
 254, 6;
 281, 6;
 294, 6;
 740, 6;
 946, 6;
 960, 6;
 1029, 6;
 1059, 6;
 1174, 6;
 28, 7;
 38, 7;
 64, 7;
 115, 7;
 164, 7;
 202, 7;
 263, 7;
 274, 7;
 326, 7;
 746, 7;
 759, 7;
 829, 7;
 851, 7;
 900, 7;
 998, 7;
 1051, 7;
 1077, 7;
 1142, 7;
 1259, 7;
 13, 8;
 141, 8;
 224, 8;
 494, 8;
 548, 8;
 659, 8;
 683, 8;
 838, 8;
 868, 8;
 873, 8;
 964, 8;
 1012, 8;
 1081, 8;
 1105, 8;
 1137, 8;
 1198, 8;
 7, 9;
 47, 9;
 104, 9;
 174, 9;
 245, 9;
 248, 9;
 284, 9;
 424, 9;
 574, 9;
 791, 9;
 812, 9;
 975, 9;
 1168, 9;
 1234, 9;
 1256, 9;
 1268, 9;
 75, 10;
 115, 10;
 186, 10;
 218, 10;
 308, 10;
 347, 10;
 772, 10;
 849, 10;
 855, 10;
 1032, 10;
 1192, 10;
 1252, 10;
 51, 11;
 63, 11;
 135, 11;
 765, 11;
 895, 11;
 926, 11;
 943, 11;
 976, 11;
 1069, 11;
 1151, 11;
 1157, 11;
 1163, 11;
 1246, 11;
 93, 12;
 131, 12;
 178, 12;
 420, 12;
 520, 12;
 704, 12;
 746, 12;
 750, 12;
 754, 12;
 787, 12;
 798, 12;
 935, 12;
 1146, 12;
 1183, 12;
 1203, 12;
 1234, 12;
 1265, 12;
 1271, 12;
 7, 13;
 32, 13;
 48, 13;
 81, 13;
 250, 13;
 256, 13;
 269, 13;
 368, 13;
 390, 13;
 516, 13;
 1057, 13;
 1097, 13;
 1122, 13;
 44, 14;
 71, 14;
 152, 14;
 440, 14;
 558, 14;
 741, 14;
 816, 14;
 820, 14;
 837, 14;
 852, 14;
 992, 14;
 1040, 14;
 1109, 14;
 1118, 14;
