[1063, 374;
  1052, 375;
  1063, 380;
  1251, 517;
  1273, 561;
  1276, 572;
  1257, 576;
  1238, 629;
  1216, 21;
  1235, 38;
  1260, 47;
  203, 53;
  1231, 63;
  976, 72;
  959, 73;
  971, 74;
  778, 110;
  1245, 135;
  1149, 142;
  1190, 144;
  1062, 148;
  970, 155;
  1245, 155;
  1232, 162;
  936, 165;
  946, 169;
  1174, 170;
  926, 171;
  934, 173;
  942, 174;
  931, 177;
  1199, 178;
  923, 179;
  928, 181;
  680, 182;
  761, 184;
  672, 190;
  831, 191;
  828, 193;
  838, 193;
  831, 196;
  918, 199;
  1179, 200;
  844, 202;
  1184, 204;
  1019, 205;
  1022, 210;
  955, 215;
  665, 216;
  809, 218;
  610, 221;
  612, 221;
  561, 222;
  665, 222;
  563, 223;
  613, 223;
  653, 223;
  652, 226;
  622, 228;
  656, 228;
  562, 235;
  584, 235;
  649, 235;
  597, 236;
  652, 236;
  1015, 238;
  975, 239;
  602, 240;
  977, 240;
  562, 242;
  623, 243;
  941, 248;
  623, 249;
  655, 249;
  658, 250;
  662, 250;
  560, 253;
  603, 253;
  610, 253;
  653, 253;
  922, 253;
  966, 253;
  901, 255;
  893, 256;
  763, 257;
  926, 257;
  888, 258;
  963, 258;
  967, 258;
  950, 260;
  884, 262;
  753, 263;
  761, 263;
  1002, 263;
  992, 264;
  932, 267;
  873, 268;
  1214, 268;
  656, 273;
  658, 273;
  1050, 273;
  952, 276;
  1012, 276;
  1121, 276;
  1045, 278;
  953, 279;
  955, 280;
  919, 286;
  692, 288;
  761, 288;
  935, 288;
  957, 288;
  685, 290;
  938, 290;
  891, 291;
  920, 292;
  706, 293;
  732, 293;
  909, 294;
  676, 295;
  745, 295;
  905, 295;
  942, 295;
  955, 295;
  1046, 295;
  767, 296;
  951, 296;
  770, 297;
  1024, 297;
  934, 298;
  927, 300;
  689, 301;
  940, 301;
  943, 302;
  1031, 302;
  932, 303;
  948, 303;
  923, 304;
  956, 304;
  694, 305;
  937, 305;
  701, 307;
  696, 308;
  775, 308;
  959, 308;
  760, 309;
  938, 309;
  1011, 309;
  955, 310;
  1043, 310;
  37, 311;
  763, 311;
  1014, 311;
  757, 313;
  1013, 313;
  1037, 314;
  707, 316;
  1021, 316;
  753, 317;
  697, 318;
  1021, 321;
  1037, 321;
  702, 322;
  715, 322;
  1033, 323;
  710, 324;
  1021, 326;
  711, 330;
  1024, 330;
  1029, 330;
  702, 333;
  33, 335;
  654, 335;
  962, 335;
  700, 336;
  729, 336;
  1027, 336;
  706, 337;
  711, 338;
  725, 338;
  714, 340;
  766, 341;
  688, 343;
  723, 345;
  1269, 345;
  777, 347;
  728, 348;
  777, 349;
  1035, 349;
  779, 352;
  776, 353;
  703, 355;
  989, 355;
  703, 357;
  739, 362;
  1003, 363;
  1006, 364;
  1003, 366;
  692, 368;
  797, 368;
  1061, 369;
  197, 370;
  797, 370;
  688, 371;
  194, 372;
  196, 372;
  293, 372;
  1067, 373;
  1049, 374;
  1068, 376;
  541, 377;
  547, 377;
  1069, 378;
  1008, 383;
  119, 384;
  1040, 384;
  1047, 384;
  1057, 385;
  1063, 385;
  118, 387;
  1041, 389;
  1050, 389;
  988, 390;
  1054, 390;
  1063, 390;
  1057, 393;
  548, 394;
  743, 395;
  1049, 396;
  976, 397;
  1001, 398;
  741, 400;
  1054, 400;
  991, 401;
  1065, 401;
  738, 404;
  974, 404;
  1008, 405;
  982, 408;
  541, 410;
  973, 411;
  542, 415;
  982, 415;
  1032, 415;
  1004, 417;
  1017, 417;
  1006, 418;
  1025, 418;
  540, 419;
  1020, 420;
  1022, 420;
  1021, 424;
  138, 425;
  1017, 428;
  1029, 429;
  1034, 434;
  1048, 435;
  1034, 437;
  154, 438;
  270, 438;
  1018, 438;
  1052, 438;
  1048, 439;
  866, 440;
  1035, 440;
  1058, 441;
  1063, 441;
  866, 442;
  1067, 443;
  1054, 444;
  1058, 444;
  1030, 446;
  1038, 446;
  508, 448;
  569, 449;
  701, 449;
  1041, 449;
  1053, 449;
  1045, 450;
  1108, 450;
  1037, 452;
  1063, 452;
  1069, 452;
  1073, 452;
  1053, 453;
  578, 455;
  1035, 455;
  1059, 455;
  157, 457;
  1056, 457;
  1105, 457;
  969, 458;
  1077, 458;
  698, 459;
  1067, 459;
  1009, 460;
  1046, 460;
  693, 461;
  947, 461;
  976, 461;
  1040, 461;
  1075, 461;
  1024, 462;
  1071, 462;
  700, 463;
  1067, 463;
  1030, 464;
  1062, 464;
  1070, 464;
  1233, 464;
  686, 465;
  690, 465;
  1109, 465;
  1050, 466;
  1103, 466;
  1115, 466;
  157, 467;
  1060, 467;
  1091, 467;
  1096, 467;
  987, 469;
  1054, 469;
  1093, 469;
  1010, 471;
  1025, 471;
  1056, 472;
  157, 473;
  1052, 473;
  1104, 473;
  1027, 474;
  1083, 474;
  1098, 475;
  1054, 476;
  1066, 476;
  1111, 476;
  1016, 477;
  1046, 477;
  1073, 477;
  1099, 478;
  128, 479;
  1101, 479;
  1143, 479;
  1058, 480;
  1108, 480;
  1264, 480;
  1070, 481;
  1053, 482;
  1056, 482;
  1074, 482;
  1260, 482;
  1060, 483;
  1083, 483;
  1095, 483;
  1140, 483;
  675, 486;
  1071, 486;
  667, 487;
  1065, 487;
  1077, 487;
  121, 488;
  153, 488;
  1051, 488;
  1057, 489;
  1059, 490;
  1113, 490;
  669, 491;
  677, 491;
  1019, 491;
  1066, 491;
  152, 492;
  1064, 492;
  665, 493;
  1008, 493;
  1040, 493;
  1059, 493;
  1085, 493;
  810, 494;
  989, 495;
  1050, 495;
  1068, 495;
  1072, 495;
  1076, 495;
  1139, 495;
  668, 496;
  676, 496;
  1070, 496;
  1207, 496;
  152, 497;
  1073, 497;
  1010, 498;
  1046, 500;
  651, 501;
  664, 501;
  118, 502;
  669, 502;
  1074, 502;
  1160, 502;
  1162, 502;
  1044, 503;
  1121, 503;
  1134, 504;
  1077, 505;
  664, 507;
  1062, 509;
  1089, 510;
  642, 511;
  664, 511;
  670, 511;
  1071, 511;
  1186, 511;
  1200, 512;
  1238, 512;
  1243, 512;
  644, 513;
  648, 513;
  1085, 513;
  638, 514;
  1052, 514;
  1197, 514;
  1103, 515;
  1246, 515;
  1077, 516;
  1081, 516;
  675, 517;
  1072, 518;
  1138, 518;
  674, 519;
  1249, 519;
  1258, 519;
  1071, 520;
  124, 521;
  620, 521;
  1066, 521;
  1083, 521;
  676, 522;
  1064, 522;
  612, 523;
  1056, 523;
  1161, 523;
  1268, 523;
  639, 524;
  1079, 524;
